:Issued: Tue Jul 15 01:35:19 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/06/30  00:12:07.401 23849241.fts
  last  c2: 2025/07/15  00:12:07.699 23850946.fts
  first c3: 2025/06/30  05:54:07.457 33837344.fts
  last  c3: 2025/07/14  21:06:08.132 33838992.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0065|2025/07/14 22:00| 02 | 163| 020| 1041| 0546| 0347| 1952|    
  0064|2025/07/14 21:36| 10 | 212| 110| 0268| 0142| 0188| 0743|  II
  0063|2025/07/14 19:00| 01 | 354| 010| 0283| 0021| 0262| 0322|    
  0062|2025/07/14 15:00| 01 | 177| 008| 0359| 0797| 0315| 1952|    
  0061|2025/07/14 00:12| 03 | 126| 030| 0660| 0189| 0520| 1208|    
  0060|2025/07/13 19:24| 01 | 277| 040| 0355| 0118| 0202| 0694|    
  0059|2025/07/13 19:00| 05 | 300| 066| 0254| 0071| 0120| 0434|    
  0058|2025/07/12 19:36| 02 | 332| 026| 0279| 0054| 0264| 0446|    
  0057|2025/07/12 15:12| 02 | 238| 014| 0490| 0541| 0174| 1838|    
  0056|2025/07/12 15:12| 03 | 058| 038| 0892| 0312| 0341| 1358|    
  0055|2025/07/12 15:12| 01 | 238| 054| 0296| 0055| 0179| 0393|    
  0054|2025/07/12 08:12| 01 | 227| 040| 0504| 0181| 0153| 0822|    
  0053|2025/07/12 08:00| 01 | 342| 010| 0726| 0102| 0651| 0919|    
  0052|2025/07/12 07:00| 02 | 318| 026| 0143| 0046| 0099| 0226|    
  0051|2025/07/12 03:36| 04 | 321| 032| 0182| 0042| 0099| 0220|    
  0050|2025/07/11 22:36| 02 | 043| 020| 0269| 0058| 0200| 0416|    
  0049|2025/07/11 09:48| 02 | 093| 012| 0162| 0076| 0113| 0322|    
  0048|2025/07/11 09:12| 02 | 149| 056| 0380| 0053| 0281| 0488|    
  0047|2025/07/10 21:24| 02 | 149| 028| 0225| 0049| 0178| 0355|    
  0046|2025/07/10 20:24| 03 | 171| 032| 0283| 0030| 0218| 0325|    
  0045|2025/07/10 15:12| 08 | 098| 050| 0228| 0047| 0127| 0339|    
  0044|2025/07/09 19:36| 01 | 309| 028| 0322| 0050| 0284| 0446|    
  0043|2025/07/09 15:12| 01 | 304| 006| 0244| 0030| 0214| 0289|    
  0042|2025/07/09 14:48| 01 | 057| 008| 0431| 0025| 0395| 0459|    
  0041|2025/07/09 12:36| 07 | 319| 048| 0156| 0057| 0107| 0286|    
  0040|2025/07/09 12:24| 02 | 029| 044| 0496| 0027| 0434| 0528|    
  0039|2025/07/09 01:36| 01 | 289| 008| 0473| 0282| 0462| 0919|    
  0038|2025/07/08 07:12| 01 | 035| 008| 0202| 0875| 0169| 1735|    
  0037|2025/07/08 04:24| 01 | 008| 010| 0322| 0090| 0231| 0459|    
  0036|2025/07/08 04:12| 02 | 058| 062| 0409| 0128| 0121| 0558|    
  0035|2025/07/08 00:12| 02 | 095| 008| 1358| 0658| 0300| 1838|    
  0034|2025/07/07 22:00| 01 | 106| 014| 1183| 0457| 0588| 1838|    
  0033|2025/07/07 17:36| 02 | 046| 006| 0113| 0022| 0106| 0157|    
  0032|2025/07/07 17:36| 04 | 044| 010| 0149| 0089| 0104| 0336|    
  0031|2025/07/07 13:36| 03 | 114| 018| 0627| 0222| 0327| 1116|    
  0030|2025/07/07 02:48| 02 | 345| 084| 0352| 0058| 0240| 0456|    
  0029|2025/07/07 02:12| 01 | 053| 028| 0179| 0047| 0120| 0277|    
  0028|2025/07/06 17:48| 03 | 277| 056| 0274| 0105| 0119| 0499|    
  0027|2025/07/06 15:24| 00 | 255| 008| 0762| 0019| 0744| 0791|    
  0026|2025/07/06 02:00| 02 | 255| 016| 0641| 0046| 0578| 0702|    
  0025|2025/07/05 22:24| 01 | 257| 012| 0578| 0103| 0393| 0686|    
  0024|2025/07/05 20:36| 00 | 254| 006| 0598| 0463| 0558| 1524|    
  0023|2025/07/05 08:12| 00 | 015| 008| 0637| 0149| 0416| 0763|    
  0022|2025/07/05 08:12| 03 | 334| 026| 0689| 0407| 0259| 1644|    
  0021|2025/07/05 08:12| 01 | 331| 024| 0283| 0035| 0231| 0322|    
  0020|2025/07/05 08:00| 01 | 250| 006| 0669| 0066| 0595| 0744|    
  0019|2025/07/05 08:00| 02 | 338| 062| 0324| 0071| 0200| 0473|    
  0018|2025/07/04 20:12| 00 | 245| 008| 0762| 0155| 0686| 1059|    
  0017|2025/07/04 17:12| 01 | 176| 022| 0337| 0752| 0221| 1838|    
  0016|2025/07/04 16:36| 07 | 158| 054| 0164| 0056| 0104| 0315|    
  0015|2025/07/04 14:24| 04 | 019| 064| 0376| 0088| 0248| 0548|    
  0014|2025/07/04 14:00| 01 | 112| 010| 0876| 0398| 0589| 1644|    
  0013|2025/07/04 11:48| 01 | 162| 006| 0178| 0889| 0105| 1953|    
  0012|2025/07/03 20:24| 01 | 294| 006| 0147| 0144| 0101| 0428|    
  0011|2025/07/03 18:36| 03 | 294| 018| 0249| 0191| 0104| 0593|    
  0010|2025/07/03 13:20| 01 | 098| 006| 0278| 0009| 0272| 0293|    
  0009|2025/07/03 08:44| 04 | 062| 110| 0254| 0169| 0166| 0830|  II
  0008|2025/07/03 07:08| 04 | 264| 114| 0432| 0132| 0209| 0710|  II
  0007|2025/07/03 02:56| 00 | 263| 012| 0189| 0262| 0151| 0679|    
  0006|2025/07/03 02:20| 01 | 006| 010| 0370| 0004| 0370| 0377|    
  0005|2025/07/02 22:08| 01 | 237| 020| 0215| 0213| 0134| 0686|    
  0004|2025/07/02 16:00| 02 | 224| 006| 0129| 0039| 0101| 0192|    
  0003|2025/07/02 09:12| 07 | 218| 010| 0103| 0009| 0100| 0117|    
  0002|2025/07/02 03:12| 01 | 212| 010| 0142| 0088| 0103| 0340|    
  0001|2025/07/02 00:12| 00 | 114| 034| 1007| 0219| 0744| 1453|    
 
# Flow|          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0010|2025/07/14 02:00| 03 | 298| 010| 0236| 0091| 0202| 0411|    
  0009|2025/07/13 12:00| 01 | 350| 018| 0409| 0046| 0357| 0480|    
  0008|2025/07/11 13:48| 00 | 128| 010| 0176| 0022| 0158| 0223|    
  0007|2025/07/10 06:36| 01 | 052| 018| 0271| 0000| 0271| 0271|    
  0006|2025/07/07 22:00| 01 | 103| 008| 0710| 0000| 0710| 0710|    
  0005|2025/07/05 06:48| 01 | 024| 018| 0161| 0033| 0115| 0222|    
  0004|2025/07/05 01:00| 01 | 171| 008| 1952| 0072| 1838| 1953|    
  0003|2025/07/03 19:00| 01 | 234| 006| 0224| 0313| 0129| 0844|    
  0002|2025/07/03 10:26| 01 | 340| 018| 0455| 0173| 0355| 0890|    
  0001|2025/07/02 04:12| 00 | 213| 008| 0103| 0001| 0102| 0105|    
