:Issued: Wed Jul  2 02:13:48 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/05/31  00:00:08.434 23845810.fts
  last  c2: 2025/07/01  22:36:07.527 23849459.fts
  first c3: 2025/05/31  03:30:07.484 33833840.fts
  last  c3: 2025/07/01  20:30:07.417 33837447.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0154|2025/06/30 12:00| 01 | 345| 008| 0539| 0064| 0411| 0558|    
  0153|2025/06/30 09:12| 04 | 003| 024| 0446| 0178| 0110| 0741|    
  0152|2025/06/29 20:24| 01 | 332| 030| 0255| 0076| 0205| 0452|    
  0151|2025/06/29 16:12| 09 | 293| 152| 0214| 0041| 0138| 0318|  II
  0150|2025/06/29 12:00| 01 | 067| 028| 0413| 0104| 0226| 0477|    
  0149|2025/06/29 11:12| 02 | 322| 018| 0374| 0065| 0296| 0488|    
  0148|2025/06/28 21:24| 01 | 057| 016| 0322| 0026| 0306| 0376|    
  0147|2025/06/28 20:24| 00 | 292| 018| 0256| 0016| 0240| 0286|    
  0146|2025/06/28 20:24| 02 | 233| 036| 0274| 0050| 0160| 0347|    
  0145|2025/06/28 16:24| 01 | 200| 014| 0411| 0135| 0272| 0651|    
  0144|2025/06/28 05:24| 02 | 060| 010| 0351| 0069| 0236| 0425|    
  0143|2025/06/27 11:48| 01 | 311| 024| 1072| 0362| 0568| 1488|    
  0142|2025/06/27 09:36| 02 | 189| 012| 0159| 0009| 0140| 0170|    
  0141|2025/06/26 17:12| 01 | 259| 024| 0698| 0024| 0657| 0743|    
  0140|2025/06/26 13:36| 01 | 262| 022| 0977| 0249| 0624| 1488|    
  0139|2025/06/25 20:36| 02 | 176| 018| 0350| 0094| 0170| 0411|    
  0138|2025/06/25 16:48| 10 | 289| 080| 0196| 0175| 0111| 0762|    
  0137|2025/06/25 13:25| 02 | 309| 024| 0224| 0094| 0192| 0453|    
  0136|2025/06/25 07:00| 01 | 260| 014| 1024| 0356| 0558| 1373|    
  0135|2025/06/25 06:36| 01 | 256| 014| 1077| 0142| 0976| 1329|    
  0134|2025/06/25 05:00| 02 | 084| 014| 0888| 0626| 0504| 2016|    
  0133|2025/06/25 04:00| 02 | 095| 016| 0726| 0549| 0359| 1644|    
  0132|2025/06/24 23:48| 01 | 259| 012| 0811| 0180| 0664| 1201|    
  0131|2025/06/24 21:00| 02 | 263| 016| 0657| 0201| 0385| 1041|    
  0130|2025/06/24 18:48| 01 | 262| 014| 0791| 0060| 0744| 0892|    
